iter	Passed	Remaining
460	789	922
461	790	920
462	791	918
463	792	916
464	794	913
465	795	911
466	796	909
467	797	906
468	799	904
469	800	902
470	801	900
471	802	897
472	803	895
473	804	893
474	806	891
475	807	888
476	808	886
477	809	884
478	811	882
479	812	880
480	813	877
481	814	875
482	815	873
483	817	871
484	818	869
485	819	866
486	820	864
487	822	862
488	823	860
489	824	858
490	826	856
491	827	854
492	828	851
493	829	849
494	830	847
495	832	845
496	833	843
497	834	841
498	836	839
499	837	837
500	838	835
501	839	832
502	840	830
503	842	828
504	843	826
505	844	824
506	845	822
507	847	820
508	848	818
509	849	816
510	851	814
511	852	812
512	853	810
513	855	808
514	856	806
515	857	804
516	858	802
517	859	800
518	860	797
519	862	795
520	863	793
521	864	791
522	865	789
523	867	787
524	868	785
525	869	783
526	871	781
527	872	779
528	873	777
529	874	775
530	876	773
531	877	771
532	878	770
533	880	768
534	881	766
535	882	764
536	884	762
537	885	760
538	886	758
539	887	756
540	888	754
541	890	752
542	891	750
543	892	748
544	893	746
545	894	743
546	896	742
547	897	740
548	898	738
549	900	736
550	901	734
551	902	732
552	904	730
553	905	729
554	906	727
555	907	724
556	909	723
557	910	721
558	911	719
559	912	717
560	914	715
561	915	713
562	916	711
563	917	709
564	919	707
565	920	705
566	921	703
567	922	701
568	923	699
569	924	697
570	926	695
571	927	694
572	928	692
573	930	690
574	931	688
575	932	686
576	933	684
577	935	682
578	936	680
579	937	678
580	938	676
581	939	675
582	941	673
583	942	671
584	943	669
585	945	667
586	946	666
587	948	664
588	949	662
589	950	660
590	952	659
591	954	657
592	955	655
593	957	654
594	958	652
595	959	650
596	961	648
597	962	647
598	963	645
599	965	643
600	966	641
601	967	639
602	968	637
603	970	636
604	971	634
605	973	632
606	974	630
607	975	629
608	977	627
609	978	625
610	979	623
611	981	622
612	982	620
613	983	618
614	985	616
615	986	614
616	988	613
617	989	611
618	990	609
619	991	607
620	993	606
621	994	604
622	995	602
623	997	600
624	998	599
625	1000	597
626	1001	595
627	1002	593
628	1003	592
629	1005	590
630	1006	588
631	1007	586
632	1009	585
633	1010	583
634	1011	581
635	1013	579
636	1014	578
637	1015	576
638	1017	574
639	1018	572
640	1020	571
641	1021	569
642	1022	567
643	1024	566
644	1025	564
645	1026	562
646	1028	560
647	1029	559
648	1030	557
649	1032	555
650	1033	554
651	1034	552
652	1035	550
653	1037	548
654	1038	547
655	1040	545
656	1041	543
657	1042	541
658	1043	540
659	1045	538
660	1046	536
661	1047	535
662	1049	533
663	1050	531
664	1052	529
665	1053	528
666	1054	526
667	1055	524
668	1057	523
669	1058	521
670	1059	519
671	1060	517
672	1062	516
673	1063	514
674	1065	512
675	1066	511
676	1068	509
677	1069	507
678	1070	506
679	1072	504
680	1073	502
681	1074	501
682	1076	499
683	1077	497
684	1078	496
685	1080	494
686	1081	492
687	1082	491
688	1084	489
689	1085	487
690	1086	485
691	1088	484
692	1089	482
693	1090	480
694	1092	479
695	1093	477
696	1094	475
697	1096	474
698	1097	472
699	1099	471
700	1100	469
701	1101	467
702	1103	466
703	1104	464
704	1105	462
705	1106	460
706	1107	459
707	1109	457
708	1110	455
709	1111	454
710	1112	452
711	1114	450
712	1115	448
713	1116	447
714	1118	445
715	1119	444
716	1121	442
717	1122	440
718	1123	439
719	1125	437
720	1126	435
721	1127	434
722	1129	432
723	1130	430
724	1131	429
725	1133	427
726	1134	426
727	1135	424
728	1137	422
729	1138	421
730	1139	419
731	1141	417
732	1142	416
733	1143	414
734	1145	412
735	1146	411
736	1147	409
737	1148	407
738	1150	406
739	1151	404
740	1152	402
741	1153	401
742	1155	399
743	1157	398
744	1158	396
745	1159	394
746	1160	393
747	1162	391
748	1163	389
749	1164	388
750	1166	386
751	1167	385
752	1168	383
753	1170	381
754	1171	380
755	1172	378
756	1173	376
757	1175	375
758	1176	373
759	1177	371
760	1179	370
761	1180	368
762	1181	366
763	1182	365
764	1184	363
765	1186	362
766	1187	360
767	1188	359
768	1190	357
769	1192	356
770	1193	354
771	1194	352
772	1195	351
773	1197	349
774	1198	347
775	1199	346
776	1201	344
777	1202	343
778	1203	341
779	1205	339
780	1206	338
781	1207	336
782	1208	335
783	1210	333
784	1211	331
785	1212	330
786	1213	328
787	1215	326
788	1216	325
789	1217	323
790	1218	322
791	1219	320
792	1221	318
793	1222	317
794	1223	315
795	1225	313
796	1226	312
797	1227	310
798	1228	309
799	1229	307
800	1231	305
801	1232	304
802	1233	302
803	1234	301
804	1236	299
805	1237	297
806	1238	296
807	1239	294
808	1240	292
809	1241	291
810	1243	289
811	1244	288
812	1245	286
813	1246	284
814	1248	283
815	1249	281
816	1250	280
817	1251	278
818	1252	276
819	1253	275
820	1255	273
821	1256	272
822	1257	270
823	1258	268
824	1259	267
825	1261	265
826	1262	264
827	1263	262
828	1264	260
829	1266	259
830	1267	257
831	1268	256
832	1269	254
833	1271	253
834	1272	251
835	1274	249
836	1275	248
837	1276	246
838	1277	245
839	1279	243
840	1280	242
841	1281	240
842	1284	239
843	1285	237
844	1287	236
845	1288	234
846	1290	233
847	1292	231
848	1293	230
849	1294	228
850	1296	227
851	1298	225
852	1299	223
853	1300	222
854	1302	220
855	1304	219
856	1305	217
857	1307	216
858	1308	214
859	1309	213
860	1311	211
861	1314	210
862	1315	208
863	1317	207
864	1318	205
865	1319	204
866	1321	202
867	1322	201
868	1323	199
869	1324	197
870	1326	196
871	1327	194
872	1329	193
873	1330	191
874	1331	190
875	1333	188
876	1334	187
877	1335	185
878	1337	184
879	1338	182
880	1339	180
881	1341	179
882	1342	177
883	1343	176
884	1345	174
885	1346	173
886	1347	171
887	1349	170
888	1350	168
889	1351	167
890	1352	165
891	1354	163
892	1355	162
893	1357	160
894	1358	159
895	1359	157
896	1361	156
897	1362	154
898	1363	153
899	1365	151
900	1366	150
901	1367	148
902	1369	147
903	1370	145
904	1371	143
905	1372	142
906	1374	140
907	1375	139
908	1376	137
909	1378	136
910	1379	134
911	1380	133
912	1381	131
913	1383	130
914	1384	128
915	1385	127
916	1386	125
917	1388	124
918	1389	122
919	1390	120
920	1392	119
921	1393	117
922	1394	116
923	1395	114
924	1397	113
925	1398	111
926	1399	110
927	1401	108
928	1402	107
929	1403	105
930	1404	104
931	1406	102
932	1407	101
933	1408	99
934	1409	97
935	1410	96
936	1412	94
937	1413	93
938	1414	91
939	1415	90
940	1416	88
941	1418	87
942	1419	85
943	1420	84
944	1422	82
945	1423	81
946	1424	79
947	1426	78
948	1427	76
949	1428	75
950	1430	73
951	1431	72
952	1433	70
953	1434	69
954	1436	67
955	1437	66
956	1438	64
957	1440	63
958	1441	61
959	1443	60
960	1444	58
961	1445	57
962	1447	55
963	1448	54
964	1450	52
965	1451	51
966	1453	49
967	1454	48
968	1455	46
969	1456	45
970	1458	43
971	1459	42
972	1460	40
973	1461	39
974	1463	37
975	1464	36
976	1466	34
977	1467	33
978	1468	31
979	1470	30
980	1471	28
981	1472	26
982	1473	25
983	1475	23
984	1476	22
985	1478	20
986	1479	19
987	1481	17
988	1482	16
989	1484	14
990	1485	13
991	1486	11
992	1488	10
993	1489	8
994	1490	7
995	1492	5
996	1493	4
997	1495	2
998	1496	1
999	1497	0
